GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
qamanny-ims,com.qa.ims.controller,ItemController,2,110,0,2,1,30,1,7,1,6
qamanny-ims,com.qa.ims.controller,Action,33,83,2,0,9,9,3,3,2,3
qamanny-ims,com.qa.ims.controller,CustomerController,2,105,0,2,1,29,1,7,1,6
qamanny-ims,com.qa.ims.controller,OrderController,126,0,2,0,35,0,8,0,7,0
qamanny-ims,com.qa.ims,Ims,180,59,16,3,48,12,16,4,4,3
qamanny-ims,com.qa.ims,Runner,14,0,0,0,5,0,3,0,3,0
qamanny-ims,com.qa.ims.persistence.dao,ItemDaoMysql,210,92,2,0,51,19,7,4,6,4
qamanny-ims,com.qa.ims.persistence.dao,OrderlineDaoMysql,320,0,2,0,73,0,11,0,10,0
qamanny-ims,com.qa.ims.persistence.dao,OrderDaoMysql,319,0,2,0,72,0,11,0,10,0
qamanny-ims,com.qa.ims.persistence.dao,CustomerDaoMysql,209,92,2,0,51,19,7,4,6,4
qamanny-ims,com.qa.ims.services,ItemServices,0,28,0,0,0,8,0,5,0,5
qamanny-ims,com.qa.ims.services,OrderlineServices,28,0,0,0,8,0,5,0,5,0
qamanny-ims,com.qa.ims.services,OrderServices,28,0,0,0,8,0,5,0,5,0
qamanny-ims,com.qa.ims.services,CustomerServices,0,28,0,0,0,8,0,5,0,5
qamanny-ims,com.qa.ims.persistence.domain,Orderline,28,206,4,34,12,51,5,28,2,12
qamanny-ims,com.qa.ims.persistence.domain,Order,7,218,4,34,3,56,3,29,0,13
qamanny-ims,com.qa.ims.persistence.domain,Domain,12,93,0,2,6,11,1,5,1,4
qamanny-ims,com.qa.ims.persistence.domain,Item,0,178,0,30,0,48,0,26,0,11
qamanny-ims,com.qa.ims.persistence.domain,Customer,0,176,0,30,0,48,0,26,0,11
qamanny-ims,com.qa.ims.utils,Utils,25,0,0,0,6,0,3,0,3,0
